Date,first,second,third,fourth,fifth,sixth,Day_Name,Month,Day,Week,week_cos,week_sin,month_cos,month_sin,day_cos,day_sin
2021-06-29,2,4,7,24,32,41,Tuesday,6,29,26,-0.22252093395631184,-0.9749279121818242,-1.0,1.2246467991473532e-16,0.9189578116202306,-0.3943558551133187
2021-06-26,8,14,15,22,30,36,Saturday,6,26,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,0.5289640103269624,-0.8486442574947509
2021-06-24,1,4,6,32,34,36,Thursday,6,24,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,0.15142777750457667,-0.9884683243281114
2021-06-22,7,13,14,23,29,35,Tuesday,6,22,25,-0.9009688679024195,-0.43388373911755734,-1.0,1.2246467991473532e-16,-0.2506525322587213,-0.9680771188662041
2021-06-19,2,6,20,23,28,31,Saturday,6,19,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.7587581226927911,-0.651372482722222
2021-06-17,6,8,9,21,41,42,Thursday,6,17,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.9541392564000488,-0.2993631229733582
2021-06-15,5,21,26,33,38,39,Tuesday,6,15,24,-0.9009688679024188,0.4338837391175589,-1.0,1.2246467991473532e-16,-0.994869323391895,0.10116832198743272
2021-06-12,1,6,9,16,35,41,Saturday,6,12,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,-0.758758122692791,0.6513724827222223
2021-06-10,13,15,17,27,35,42,Thursday,6,10,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,-0.4403941515576344,0.8978045395707416
2021-06-08,1,7,22,32,38,42,Tuesday,6,8,23,-0.22252093395631362,0.9749279121818238,-1.0,1.2246467991473532e-16,-0.05064916883871264,0.9987165071710528
2021-06-05,1,3,5,9,12,21,Saturday,6,5,22,0.6234898018587369,0.7818314824680271,-1.0,1.2246467991473532e-16,0.5289640103269624,0.8486442574947509
